centroide,CoordX,CoordY,S1-III,S1-IV,TS(TL),TS(TC),M1.2,M1.1,G1.1,G1.2,A1.1,A1.2,TL,P,TS(S2)IV,TS(S2)III,TS(S2)V,S1-V,CN,S1-VII,M2.1,M2.2,TS(S2)VI
Ta_1,5590809.955,5800739.013,,,,,,,,,,,,-2,,,,,,,,,
Ta_2,5584573.693,5818164.125,,,,,,,,,,,,-2,,,,,,,,,
Ta_3,5586668.576,5835540.687,,,,,,,,,,,,-11,,,,,,,,,
Tdf_1,5548697.375,5895328.02,,,,,,,,,,,,,,,,,-1,,,,
TArr_1,5454654.272,5794869.125,,,,,,,,,,,,-7,,,,,,,,,
TEs_1,5554372.113,5834191.695,,,,,,,,,,,,2,,,,,,,,,
TEs_2,5547672.489,5886957.601,,,,,,,,,,,,-17,,,,,,,,,
Tri_1,5630870.323,6023395.391,,,,,,,,,,,,-54,,,,,,,,,
Tyu_1,5592563.159,6011810.037,,,,,,,,,,,,,,,,,-18,,,,
Tyu_2,5605471.903,6031288.512,,,,,,,,,,,,,,,,,-17,,,,
Vi_1,5546784.341,5976523.871,,,,,,,,,,,,,,,,,-38,,,,
Vi_2,5649155.566,5984225.57,,,,,,,,,,,,,,,,,-37,,,,
Vi_3,5594070.212,5989540.018,,,,,,,,,,,,,,,,,-35,,,,
Vi_4,5596504.305,6013134.727,,,,,,,,,,,,,,,,,-35,,,,
VD_1,5605825.835,5994887.103,,,,,,,,,,,,,,,,,-3,,,,
VD_2,5593068.572,6025118.578,,,,,,,,,,,,,,,,,-2,,,,
VM_1,5536745.878,6112761.855,,,,,,,,,,,,,,,,,-25,,,,
VM_2,5574190.211,6095065.568,,,,,,,,,,,,,,,,,-30,,,,
VM_3,5488951.391,6138875.686,,,,,,,,,,,,,,,,,-14,,,,
VM_4,5572039.025,6088430.717,,,,,,,,,,,,,,,,,-33,,,,
VM_5,5506648.313,6117084.135,,,,,,,,,,,,,,,,,-15,,,,
VM_6,5531162.55,6123960.318,,,,,,,,,,,,,,,,,-25,,,,
A100-30_29,5245349.952,5704234.88,-15,,,,-32,-37,-35,-20,,,,,,,,,-26,,,,
A100-30_1,5285481.229,5465873.419,4,,,,-15,-19,-19,-3,,,,,,,,,-9,,,,
AF100-35_1,5229779.639,5585102.238,-17,,,,-32,-37,-36,-22,,,,,,,,,-30,,,,
AF100-30_1,5233474.516,5538449.361,-11,,,,-27,-32,-31,-17,,,,,,,,,-25,,,,
